arxiv_id,status,n_pages,repo_urls,has_repo,has_data_archive,availability_statement
2607.09195,ok,17,,0,0,1
2504.08066,ok,69,github.com/HKUDS/AI-Researcher | github.com/SakanaAI/AI-Scientist-ICLR2025-Works | github.com/SakanaAI/AI-Scientist-v2,1,0,1
2607.02329,ok,39,,0,1,0
2402.00071,ok,22,,0,0,1
2402.04247,ok,26,,0,0,0
2402.05200,ok,30,github.com/M3RG-IITD/MatSci-LLM,1,0,1
2402.12391,ok,16,github.com/Liu-Hy/GenoMAS,1,0,1
2402.14424,ok,14,,0,0,1
2403.13815,ok,11,github.com/lbl-camera/gpCAM,1,0,0
2404.02831,ok,49,,0,0,1
2404.04326,ok,23,,0,0,0
2404.07738,ok,30,github.com/JinheonBaek/ResearchAgent,1,0,0
2404.08680,ok,28,github.com/peterjhwang/slr-helper,1,0,0
2404.12899,ok,23,github.com/Slautin/2024_Co-navigation | github.com/ramav87/FerroSim | github.com/ziatdinovmax/gpax,1,0,1
2405.06724,ok,32,github.com/lun-ai/BMLP_active,1,0,1
2405.12300,ok,16,,0,0,0
2405.13352,ok,15,github.com/MatthewFilipovich/pycharge | github.com/MilesCranmer/PySR | github.com/flaport/fdtd,1,0,0
2405.17631,ok,50,github.com/Significant-Gravitas/Auto-GPT | github.com/snap-stanford/BioDiscoveryAgent,1,0,0
2405.20477,ok,22,github.com/tatsu-lab/stanford_alpaca | huggingface.co/docs/transformers,1,0,0
2406.06769,ok,29,github.com/allenai/discoveryworld | github.com/allenai/discoveryworld.1,1,1,1
2406.10291,ok,19,github.com/cxcscmu/ResearchArena,1,0,1
2406.13163,ok,22,,0,0,1
2407.00466,ok,66,github.com/langchain-ai/langgraph | github.com/westlake-autolab/BioKGBench,1,0,1
2407.08940,ok,32,github.com/TsinghuaC3I/LLM4BioHypoGen | github.com/nomic-ai/nomic,1,0,0
2407.10362,ok,40,huggingface.co/datasets/futurehouse/lab-bench,1,0,0
2407.12857,ok,21,github.com/ZhaolinGao/Reviewer2,1,0,0
2407.12888,ok,51,github.com/Yijia-Xiao/Know2BIO.gitcdKnow2BIO | github.com/pinglab-utils/RUGGED,1,0,0
2407.13993,ok,10,github.com/cyharyanto/llassist,1,0,1
2407.16083,ok,26,,0,0,0
2408.05086,ok,35,github.com/huggingface/transformers | github.com/kanishkamisra/minicons | huggingface.co/kanishka/smolm-aochildes-vocab,1,0,1
2408.06292,ok,186,github.com/SakanaAI/AI-Scientist | github.com/Sea-Snell/grokking | github.com/danielmamay/grokking | github.com/fedebotu/ICLR20 | github.com/karpathy/nanoGPT | github.com/paul-gauthier/aider,1,0,1
2408.14033,ok,11,github.com/du-nlp-lab/MLR-Copilot | huggingface.co/spaces/du-lab,1,0,0
2408.14487,ok,9,,0,0,0
2409.02604,ok,38,,0,0,1
2409.04109,ok,94,github.com/NoviScl/AI-Researcher,1,1,0
2409.05258,ok,16,,0,0,0
2409.05556,ok,79,github.com/lamm-mit/GraphReasoning | github.com/lamm-mit/SciAgentsDiscovery,1,0,1
2409.11363,ok,30,github.com/siegelz/core-bench,1,1,1
2409.14913,ok,58,,0,0,0
2409.16876,ok,27,github.com/Guoxs/TR-Agent,1,0,0
2410.05080,ok,60,github.com/All-Hands-AI/OpenHands | github.com/bndr/pipreqs | github.com/jazzband/pip-tools | github.com/neuropsychology/NeuroKit,1,0,0
2410.06384,ok,22,github.com/croningp/acra | gitlab.com/croningroup/chemputer/xdl,1,0,1
2410.09403,ok,40,,0,0,1
2410.13185,ok,30,github.com/DAMO-NLP-SG/CoI-Agent | huggingface.co/spaces/DAMO-NLP-SG,1,0,0
2410.17309,ok,37,,0,0,1
2411.00816,ok,41,,0,0,1
2411.02382,ok,17,,0,0,1
2411.02429,ok,44,anonymous.4open.science/r/IdeaBench-,1,0,1
2411.03743,ok,24,,0,1,0
2411.06590,ok,20,,0,0,0
2411.11910,ok,36,github.com/AgentForceTeamOfficial/Baby-AIGS | github.com/hiyouga/LLaMA-Factory | github.com/karpathy/nanoGPT | github.com/lm-sys/FastChat | github.com/openai/openai-python | github.com/vllm-project/vllm,1,0,0
2411.14456,ok,36,huggingface.co/sentence-transformers/all-MiniLM-L6-v2,1,0,0
2411.18583,ok,6,huggingface.co/datasets/allenai/scitldr,1,0,0
2412.07978,ok,37,github.com/EvoEvolver/k_agents | github.com/ShuxiangCao/LeeQ | huggingface.co/NousResearch/Nous-Hermes-2-Yi-34B,1,0,0
2412.09429,ok,27,github.com/XMUDM/BioResearcher,1,0,1
2412.12347,ok,15,,0,0,0
2412.13612,ok,14,anonymous.4open.science/r/Eval_LLM_,1,0,1
2412.14141,ok,45,,0,0,1
2412.14626,ok,21,,0,0,0
2412.16270,ok,31,github.com/jsvine/pdfplumber | github.com/pdfminer/pdfminer.six | github.com/py-pdf/pypdf,1,0,0
2412.17596,ok,48,github.com/x66ccff/liveideabench,1,1,1
2501.01451,ok,13,,0,0,1
2501.04227,ok,84,,0,0,0
2501.04306,ok,37,github.com/du-nlp-lab/LLM4SR,1,0,0
2501.08120,ok,53,github.com/lamm-mit/PRefLexOR,1,0,1
2501.10385,ok,53,github.com/M3RG-IITD/AILA,1,0,1
2501.16084,ok,7,,0,0,0
2502.04644,ok,15,,0,0,0
2502.05151,ok,46,github.com/NL2G/TransformingScienceLLMs,1,1,0
2502.06851,error: HTTPError,0,,0,0,0
2502.09858,ok,65,,0,0,1
2502.12510,ok,45,,0,0,0
2502.14297,ok,16,github.com/SakanaAI/AI-Scientist,1,1,0
2502.14499,ok,35,github.com/KellerJordan/modded-nanogpt | github.com/RobertTLange/gymnax-blines | github.com/facebookresearch/MLGym,1,0,1
2502.16487,ok,18,,0,0,1
2502.18864,ok,157,huggingface.co/datasets/Idavidrein/gpqa,1,0,0
2503.01508,ok,31,,0,0,0
2503.05712,ok,35,github.com/NikeHop/OpenReviewParser | github.com/NikeHop/automatic_ | github.com/kermitt2/grobid | huggingface.co/allenai/specter2_base | huggingface.co/datasets/nhop,1,0,0
2503.08506,ok,17,github.com/titipata/scipdf_parser,1,0,0
2503.08979,ok,14,,0,0,0
2503.13399,ok,47,github.com/jmhb0/microvqa | huggingface.co/datasets/jmhb/microvqa,1,0,1
2503.16041,ok,12,,0,0,0
2503.18102,ok,29,,0,0,0
2503.18865,ok,20,,0,0,0
2503.19257,ok,50,,0,0,0
2503.19309,ok,21,,0,0,0
2503.22444,ok,33,,0,0,0
2503.22708,ok,98,github.com/allenai/codescientist,1,0,0
2503.23170,ok,24,github.com/amirgroup-codes/AstroAgents,1,0,1
2503.24047,ok,68,,0,0,0
2504.01848,ok,30,,0,0,1
2504.01911,ok,21,,0,0,0
2504.03160,ok,19,github.com/GAIR-NLP/DeepResearcher | github.com/camel-ai/owl | github.com/mannaandpoem/OpenManus | github.com/volcengine/verl | huggingface.co/Qwen/Qwen2.5-7B-Instruct,1,0,1
2504.03810,ok,50,huggingface.co/docs/transformers,1,0,0
2504.05496,ok,11,,0,0,0
2504.08762,ok,10,github.com/TechnicolorGUO/InteractiveSurvey,1,0,0
2504.08810,ok,19,,0,0,1
2504.09702,ok,45,github.com/yunx-z/MLRC-Bench | huggingface.co/spaces/launch,1,0,1
2504.10415,ok,35,github.com/PingchuanMa/SGA | github.com/deep-symbolic-mathematics/llm-srbench,1,0,0
2504.11524,ok,32,,0,0,0
2504.12345,ok,25,github.com/quao627/Urban-CI-LitReview,1,0,1
2504.12976,ok,19,github.com/UniverseTBD/hypogen-cs | huggingface.co/datasets/UniverseTBD/hypogen-dr1,1,0,1
2504.13344,ok,24,github.com/polybot-nexus/robo_advisor_dashboard,1,0,1
2504.14191,ok,57,github.com/titipata/scipdf_parser,1,0,0
2504.18736,ok,35,github.com/EvidenceBench/EvidenceBench,1,1,1
2504.19017,ok,71,github.com/lamm-mit/Sparks,1,0,1
2504.21776,ok,41,github.com/RUC-NLPIR/WebThinker | github.com/project-numina/aimo-progress-prize | huggingface.co/AI-MO/NuminaMath-1.5 | huggingface.co/datasets/glaiveai,1,0,1
2505.03049,ok,33,github.com/gradio-app/gradio | github.com/rahulnyk/graph_maker | github.com/unslothai/unsloth | huggingface.co/datasets/shangzhu/ChemQA,1,1,0
2505.04638,ok,43,github.com/HelloWorldLTY/ARIEL | huggingface.co/datasets/iLOVE2D/ARIEL_DATA,1,0,0
2505.04649,ok,15,,0,0,1
2505.04651,ok,60,github.com/meta-llama/llama3,1,0,0
2505.08341,ok,13,github.com/EperLuo/BAISBench | huggingface.co/datasets/EperLuo/BaisBench,1,0,0
2505.11718,ok,18,,0,0,1
2505.11855,ok,40,github.com/guijinSON/ai4s_r2.git | huggingface.co/datasets/amphora/SPOT-MetaData,1,0,0
2505.12039,ok,36,,0,0,0
2505.13400,ok,30,,0,0,1
2505.14599,ok,16,github.com/Teddy-XiongGZ/TruthHypo,1,0,1
2505.14963,ok,26,github.com/shan23chen/MedBrowseComp | huggingface.co/datasets/AIM-Harvard/MedBrowseComp | huggingface.co/datasets/AIM-Harvard/MedBrowseComp_Meta,1,1,0
2505.15047,ok,40,,0,0,0
2505.15998,ok,24,,0,0,1
2505.16100,ok,29,github.com/cbioportal/cbioportal,1,0,0
2505.16982,ok,6,,0,0,0
2505.17873,ok,23,github.com/wanhaoliu/MOOSE-Chem3.git,1,0,0
