area,claim_type,verdict,n
A1_discovery,ARTIFACT_RELEASE,SUPPORTED,23
A1_discovery,ARTIFACT_RELEASE,DIVERGENT,7
A1_discovery,ARTIFACT_RELEASE,NOT_LOCATED,4
A1_discovery,ARTIFACT_RELEASE,CONTRADICTED,1
A1_discovery,ARTIFACT_RELEASE,UNVERIFIABLE,4
A1_discovery,DATASET,SUPPORTED,12
A1_discovery,DATASET,DIVERGENT,1
A1_discovery,DATASET,NOT_LOCATED,6
A1_discovery,DATASET,UNVERIFIABLE,4
A1_discovery,EXTERNAL_VALIDATION,SUPPORTED,5
A1_discovery,EXTERNAL_VALIDATION,DIVERGENT,1
A1_discovery,EXTERNAL_VALIDATION,NOT_LOCATED,9
A1_discovery,EXTERNAL_VALIDATION,UNVERIFIABLE,15
A1_discovery,METHOD_COMPONENT,SUPPORTED,37
A1_discovery,METHOD_COMPONENT,DIVERGENT,9
A1_discovery,METHOD_COMPONENT,NOT_LOCATED,5
A1_discovery,METHOD_COMPONENT,UNVERIFIABLE,9
A1_discovery,NUMERIC_RESULT,SUPPORTED,37
A1_discovery,NUMERIC_RESULT,DIVERGENT,10
A1_discovery,NUMERIC_RESULT,NOT_LOCATED,30
A1_discovery,NUMERIC_RESULT,UNVERIFIABLE,26
A2_auditability,ARTIFACT_RELEASE,SUPPORTED,34
A2_auditability,ARTIFACT_RELEASE,DIVERGENT,3
A2_auditability,ARTIFACT_RELEASE,NOT_LOCATED,3
A2_auditability,ARTIFACT_RELEASE,UNVERIFIABLE,7
A2_auditability,DATASET,SUPPORTED,13
A2_auditability,DATASET,DIVERGENT,5
A2_auditability,DATASET,NOT_LOCATED,8
A2_auditability,DATASET,UNVERIFIABLE,4
A2_auditability,MECHANISM_IMPLEMENTED,SUPPORTED,72
A2_auditability,MECHANISM_IMPLEMENTED,DIVERGENT,8
A2_auditability,MECHANISM_IMPLEMENTED,NOT_LOCATED,7
A2_auditability,MECHANISM_IMPLEMENTED,UNVERIFIABLE,30
A2_auditability,METHOD_COMPONENT,SUPPORTED,31
A2_auditability,METHOD_COMPONENT,DIVERGENT,11
A2_auditability,METHOD_COMPONENT,NOT_LOCATED,9
A2_auditability,METHOD_COMPONENT,UNVERIFIABLE,7
A2_auditability,NUMERIC_RESULT,SUPPORTED,17
A2_auditability,NUMERIC_RESULT,DIVERGENT,2
A2_auditability,NUMERIC_RESULT,NOT_LOCATED,16
A2_auditability,NUMERIC_RESULT,UNVERIFIABLE,16
A2_auditability,SELF_APPLICATION,SUPPORTED,21
A2_auditability,SELF_APPLICATION,DIVERGENT,9
A2_auditability,SELF_APPLICATION,NOT_LOCATED,11
A2_auditability,SELF_APPLICATION,UNVERIFIABLE,8
A8_scholarly_record,ARTIFACT_RELEASE,SUPPORTED,18
A8_scholarly_record,ARTIFACT_RELEASE,NOT_LOCATED,2
A8_scholarly_record,ARTIFACT_RELEASE,UNVERIFIABLE,5
A8_scholarly_record,DATASET,SUPPORTED,10
A8_scholarly_record,DATASET,DIVERGENT,1
A8_scholarly_record,DATASET,NOT_LOCATED,4
A8_scholarly_record,DATASET,UNVERIFIABLE,9
A8_scholarly_record,EXTERNAL_VALIDATION,DIVERGENT,1
A8_scholarly_record,EXTERNAL_VALIDATION,NOT_LOCATED,1
A8_scholarly_record,EXTERNAL_VALIDATION,UNVERIFIABLE,16
A8_scholarly_record,METHOD_COMPONENT,SUPPORTED,39
A8_scholarly_record,METHOD_COMPONENT,DIVERGENT,15
A8_scholarly_record,METHOD_COMPONENT,NOT_LOCATED,3
A8_scholarly_record,METHOD_COMPONENT,UNVERIFIABLE,7
A8_scholarly_record,NUMERIC_RESULT,SUPPORTED,8
A8_scholarly_record,NUMERIC_RESULT,DIVERGENT,5
A8_scholarly_record,NUMERIC_RESULT,NOT_LOCATED,14
A8_scholarly_record,NUMERIC_RESULT,UNVERIFIABLE,10
A9_research_infrastructure,ARTIFACT_RELEASE,SUPPORTED,12
A9_research_infrastructure,ARTIFACT_RELEASE,DIVERGENT,3
A9_research_infrastructure,ARTIFACT_RELEASE,UNVERIFIABLE,3
A9_research_infrastructure,DATASET,SUPPORTED,4
A9_research_infrastructure,DATASET,DIVERGENT,2
A9_research_infrastructure,DATASET,NOT_LOCATED,2
A9_research_infrastructure,DATASET,UNVERIFIABLE,3
A9_research_infrastructure,EXTERNAL_VALIDATION,SUPPORTED,2
A9_research_infrastructure,EXTERNAL_VALIDATION,DIVERGENT,1
A9_research_infrastructure,EXTERNAL_VALIDATION,UNVERIFIABLE,7
A9_research_infrastructure,METHOD_COMPONENT,SUPPORTED,30
A9_research_infrastructure,METHOD_COMPONENT,DIVERGENT,6
A9_research_infrastructure,METHOD_COMPONENT,NOT_LOCATED,2
A9_research_infrastructure,METHOD_COMPONENT,UNVERIFIABLE,6
A9_research_infrastructure,NUMERIC_RESULT,SUPPORTED,7
A9_research_infrastructure,NUMERIC_RESULT,DIVERGENT,2
A9_research_infrastructure,NUMERIC_RESULT,NOT_LOCATED,12
A9_research_infrastructure,NUMERIC_RESULT,UNVERIFIABLE,7
