arxiv_id,url,host,status,public,default_branch,pushed_at,size_kb,stars,archived,empty,note
2504.08066,github.com/HKUDS/AI-Researcher,github,200,True,main,2025-10-16,762410,5617,False,False,
2504.08066,github.com/SakanaAI/AI-Scientist-ICLR2025-Works,github,404,,,,,,,,not found or private
2504.08066,github.com/SakanaAI/AI-Scientist-v2,github,200,True,main,2025-12-19,4558,6917,False,False,
2402.05200,github.com/M3RG-IITD/MatSci-LLM,github,200,True,main,2024-06-21,2765,2,False,False,
2402.12391,github.com/Liu-Hy/GenoMAS,github,200,True,main,2026-04-20,3935,135,False,False,
2403.13815,github.com/lbl-camera/gpCAM,github,200,True,master,2026-07-24,67633,30,False,False,
2404.07738,github.com/JinheonBaek/ResearchAgent,github,200,True,main,2025-08-24,22459,50,False,False,
2404.08680,github.com/peterjhwang/slr-helper,github,200,True,main,2024-10-18,40,3,False,False,
2404.12899,github.com/Slautin/2024_Co-navigation,github,200,True,main,2024-04-20,16406,2,False,False,
2404.12899,github.com/ramav87/FerroSim,github,200,True,master,2026-06-04,1062,11,False,False,
2404.12899,github.com/ziatdinovmax/gpax,github,200,True,main,2025-07-04,55927,239,False,False,
2405.06724,github.com/lun-ai/BMLP_active,github,200,True,main,2025-06-06,56155,0,False,False,
2405.13352,github.com/MatthewFilipovich/pycharge,github,200,True,main,2026-01-13,4813,85,False,False,
2405.13352,github.com/MilesCranmer/PySR,github,200,True,master,2026-07-24,10700,3647,False,False,
2405.13352,github.com/flaport/fdtd,github,200,True,master,2025-09-22,375,711,False,False,
2405.17631,github.com/Significant-Gravitas/Auto-GPT,github,200,True,master,2026-07-25,634279,185684,False,False,
2405.17631,github.com/snap-stanford/BioDiscoveryAgent,github,200,True,master,2025-07-06,21916,114,False,False,
2405.20477,github.com/tatsu-lab/stanford_alpaca,github,200,True,main,2024-07-17,8654,30252,False,False,
2405.20477,huggingface.co/docs/transformers,huggingface,401,,,,,,,,
2406.06769,github.com/allenai/discoveryworld,github,200,True,main,2025-03-10,16484,218,False,False,
2406.06769,github.com/allenai/discoveryworld.1,github,404,,,,,,,,not found or private
2406.10291,github.com/cxcscmu/ResearchArena,github,200,True,main,2025-04-02,45,3,False,False,
2407.00466,github.com/langchain-ai/langgraph,github,200,True,main,2026-07-25,523998,38133,False,False,
2407.00466,github.com/westlake-autolab/BioKGBench,github,200,True,main,2024-10-14,2032,25,False,False,
2407.08940,github.com/TsinghuaC3I/LLM4BioHypoGen,github,200,True,main,2024-07-15,503,15,False,False,
2407.08940,github.com/nomic-ai/nomic,github,200,True,main,2025-11-11,25303,1878,False,False,
2407.10362,huggingface.co/datasets/futurehouse/lab-bench,huggingface,200,True,,2025-09-27,,,,False,
2407.12857,github.com/ZhaolinGao/Reviewer2,github,200,True,main,2024-04-15,54569,18,False,False,
2407.12888,github.com/Yijia-Xiao/Know2BIO.gitcdKnow2BIO,github,404,,,,,,,,not found or private
2407.12888,github.com/pinglab-utils/RUGGED,github,200,True,main,2025-06-09,1756,6,False,False,
2407.13993,github.com/cyharyanto/llassist,github,200,True,main,2026-05-13,235,20,False,False,
2408.05086,github.com/huggingface/transformers,github,200,True,main,2026-07-25,504697,162976,False,False,
